distance_offshore_km,bed_elevation_m,nearest_distance_m,nearest_cell_index
123.219472839,-1077.400775612,128.630130362,1587
122.419472839,-1071.900252203,117.838161083,395
121.619472839,-1072.236476005,186.967821675,1846
120.819472839,-1067.791115188,79.799400272,1664
120.019472839,-1062.469893472,38.736238601,12391
119.219472839,-1057.379395361,93.079565122,11851
118.419472839,-1056.769826403,28.426168477,11842
117.619472839,-1051.375644762,128.373427236,11845
116.819472839,-1038.534386116,209.519636406,11900
116.019472839,-1038.339201961,119.059995071,11890
115.219472839,-1032.019976521,22.985848308,11325
114.419472839,-1031.090325734,102.688289016,5894
113.619472839,-1023.590982912,29.898186799,8971
112.819472839,-1016.135550790,90.080044730,8389
112.019472839,-1002.262216302,196.280151868,6319
111.219472839,-1000.448796343,157.024795274,5282
110.419472839,-997.871764576,51.194077687,6132
109.619472839,-992.560403241,65.190872028,5572
108.819472839,-983.931748264,63.091996589,9078
108.019472839,-975.188144749,53.041376851,9071
107.219472839,-973.006321264,159.094764932,10122
106.419472839,-958.609791421,195.234248582,6105
105.619472839,-957.166241551,87.702755582,6029
104.819472839,-948.452699433,30.530375034,5966
104.019472839,-939.139202001,100.215668416,8393
103.219472839,-931.423133289,22.074466665,9043
102.419472839,-930.097426590,120.815367015,9087
101.619472839,-913.643491688,212.758181282,8756
100.819472839,-909.481641245,125.449728304,6062
100.019472839,-899.210164944,24.275070597,5955
99.219472839,-892.973754388,95.424801386,5836
98.419472839,-885.794440334,33.706049124,8750
97.619472839,-876.374511500,82.803881756,7654
96.819472839,-866.566602126,190.372889000,8758
96.019472839,-856.662010457,163.580000536,5671
95.219472839,-847.287193522,56.757163018,5661
94.419472839,-846.786209254,57.873167175,5695
93.619472839,-837.094791002,68.991555027,8800
92.819472839,-826.404552195,45.733292134,8809
92.019472839,-816.247968124,151.948024994,10073
91.219472839,-797.329286685,201.291432086,7671
90.419472839,-799.644733319,93.959530139,5745
89.619472839,-794.529765204,23.825102032,5360
88.819472839,-783.761151464,106.576230143,8544
88.019472839,-772.799971276,17.363940614,9333
87.219472839,-768.456756995,113.619932151,8797
86.419472839,-753.080892150,211.281762509,9832
85.619472839,-751.233466268,131.948218263,9833
84.819472839,-740.376292457,27.584211851,5782
84.019472839,-729.913170067,88.183978877,5174
83.219472839,-720.001420008,38.553859812,8599
82.419472839,-719.716384061,75.536063657,7051
81.619472839,-709.961306217,183.275646677,10087
80.819472839,-700.818638500,170.197510411,5994
80.019472839,-691.975315475,62.682240298,6018
79.219472839,-686.009882623,50.555938262,6076
78.419472839,-681.495900732,75.141300414,7248
77.619472839,-677.130135165,38.429495079,9384
76.819472839,-669.727522435,144.818528173,9112
76.019472839,-654.456933845,206.504520663,7563
75.219472839,-657.474014802,100.360146487,6034
74.419472839,-657.226946520,17.615700536,5920
73.619472839,-650.500184633,113.052869042,7352
72.819472839,-643.889096443,14.929049542,9382
72.019472839,-636.572842902,106.441396025,9369
71.219472839,-623.092731198,210.050156788,9431
70.419472839,-625.459161163,138.528610786,6093
69.619472839,-623.246598068,32.243513551,5672
68.819472839,-617.337478049,80.957280538,4640
68.019472839,-611.404927527,44.089093859,8604
67.219472839,-608.768953371,68.279255431,5580
66.419472839,-606.855846172,176.196578266,6165
65.619472839,-602.152338335,176.870331769,7772
64.819472839,-598.196296155,68.875951366,4804
64.019472839,-593.750880686,43.239426901,7537
63.219472839,-589.853288001,81.484606676,9104
62.419472839,-589.436081201,31.133003471,9633
61.619472839,-584.932103021,137.708952613,9928
60.819472839,-571.093796104,211.842250776,6354
60.019472839,-573.618384475,106.878765157,8665
59.219472839,-568.093321178,12.654487553,7172
58.419472839,-567.094898166,112.081089442,5601
57.619472839,-560.579697965,15.855356819,5125
56.819472839,-552.924219402,99.283424127,5429
56.019472839,-545.357751456,207.672755097,5295
55.219472839,-536.759125345,145.179769560,4620
54.419472839,-533.894857137,37.756394622,4532
53.619472839,-526.083883061,73.748858349,4393
52.819472839,-516.670559163,50.084349387,4516
52.019472839,-506.041025522,61.037383701,4466
51.219472839,-504.084786473,169.137965029,4383
50.419472839,-486.713528424,183.592434515,4313
49.619472839,-484.364178717,75.272013344,4244
48.819472839,-471.438542701,35.924070418,4166
48.019472839,-459.178382834,87.979618362,4210
47.219472839,-448.486978810,23.850521253,4137
46.419472839,-445.742086843,130.622548709,4111
45.619472839,-420.714070246,217.295439278,3964
44.819472839,-417.377395027,113.495060018,3967
44.019472839,-404.067440216,10.821509252,3928
43.219472839,-397.904523725,104.966895509,3912
42.419472839,-390.109071298,19.673698419,3874
41.619472839,-379.525596084,92.150796468,3849
40.819472839,-370.110782718,200.652563158,3821
40.019472839,-361.451863821,151.892420941,3733
39.219472839,-354.018254902,43.801764391,3687
38.419472839,-353.493744363,66.564619508,3672
37.619472839,-345.841744226,56.393138866,3626
36.819472839,-338.095544456,53.816430849,3607
36.019472839,-329.797087272,162.102419331,3537
35.219472839,-321.704096226,190.358682963,3468
34.419472839,-317.506708416,81.823091091,3413
33.619472839,-312.932700510,28.610636105,3379
32.819472839,-304.048587290,94.595262148,3408
32.019472839,-295.007578911,16.600311145,3279
31.219472839,-291.835373882,123.563035364,3291
30.419472839,-275.270749857,222.855431004,3179
29.619472839,-277.083775172,120.195005371,3073
28.819472839,-266.195571057,13.465368646,3096
28.019472839,-256.315134099,97.881716306,3048
27.219472839,-246.414106660,25.097798231,3061
26.419472839,-246.207139656,85.048776434,3024
25.619472839,-235.451800622,193.653089014,2948
24.819472839,-226.441507799,158.661073586,2840
24.019472839,-218.178729224,50.190962958,2797
23.219472839,-212.345770767,59.409560940,2765
22.419472839,-207.450175810,62.926452806,2774
21.619472839,-202.198844949,46.619840659,2698
20.819472839,-194.481222181,155.085959558,2674
20.019472839,-186.972836112,197.173968761,2577
19.219472839,-180.200502639,88.506180916,2561
18.419472839,-180.090705809,21.287953353,2516
17.619472839,-173.504251929,101.327539498,2501
16.819472839,-167.492373502,9.423234998,2439
16.019472839,-161.910252341,116.502975790,2430
15.219472839,-156.225101466,223.202122582,2361
14.419472839,-153.567409772,127.011048482,2269
13.619472839,-151.901731557,18.832972190,2278
12.819472839,-147.170948787,90.757562748,2252
12.019472839,-142.584607061,31.402186884,2254
11.219472839,-140.088033752,77.864187273,2208
10.419472839,-137.885290390,186.528491979,2174
9.619472839,-131.149538673,165.686934935,2101
8.819472839,-123.481851645,57.054290667,2063
8.019472839,-114.068544248,51.998889066,2029
7.219472839,-103.012741998,70.016544523,2044
6.419472839,-102.127001284,38.988981544,1962
5.619472839,-90.529095747,147.519925994,1918
4.819472839,-75.999881120,204.524328153,12477
4.019472839,-63.591448185,95.843912246,12573
3.219472839,-52.892010043,13.425512188,12476
2.419472839,-42.835330633,109.493685496,1362
1.619472839,-34.311750189,4.637185814,1776
0.819472839,-22.827219534,106.774818025,12611
0.099534421,-22.407207013,133.549056840,12588
