Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance Criteria),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Atlassian Project),Custom field (Atlassian project),Custom field (Atlassian project status),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Comments),Custom field (Confidence),Custom field (Control Cadence),Custom field (Decision Date),Custom field (Decision ID),Custom field (Decision Outcome),Custom field (Decision Questions),Custom field (Decision Rationale),Custom field (Decision Status),Custom field (Definition Status),Custom field (Delivery progress),Custom field (Delivery status),Custom field (Dependency Notes),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Evidence Required),Custom field (Exclusions),Custom field (External issue ID),Custom field (Focus Areas),Custom field (Gate ID),Custom field (Gate Status),Custom field (Goals),Custom field (Idea archived),Custom field (Idea archived on),Custom field (Impact),Custom field (Insights),Custom field (Issue color),Custom field (Linked items),Custom field (Locked forms),Custom field (Open forms),Custom field (Options Considered),Custom field (Parent WBS ID),Custom field (Planning Notes),Custom field (Project overview key),Custom field (Project overview status),Custom field (Purpose),Custom field (Rank),Custom field (Request Type),Custom field (Required Evidence),Custom field (Required Inputs),Custom field (Required Outputs),Custom field (Risk Level),Custom field (Scope),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Unlocks WBS IDs),Custom field (Vulnerability),Custom field (WBS ID),Custom field (Work item created forms),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Project Management and Control,SS-246,10264,Workstream,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,23/Jun/26 10:42 AM,,,0,"Plan, control, assure and close the Summer Studentship programme.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All six PM domains are represented, operated and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,"Scientific, engineering and software execution owned by other workstreams.",30001,,,,,,,,,,,,,,,"Root workstream. No Programme item is used. Child domains: Decision and Gate Control, Integrated Planning and Scheduling, Delivery and Change Control, Risk, Issue and Dependency Control, Performance, Assurance and Improvement, Project Closure.",,,"Plan, control, assure and close the Summer Studentship programme.",0|i0003b:,,"Jira WBS, schedules, registers, reviews and closure records.","Studentship objectives, available duration, approved WBS method and current project constraints.",A maintained project-management system covering the complete programme.,Medium,"Decision control, planning, delivery control, risk and dependency control, performance assurance and closure.",,,,,,,,,,,,PM,,,,,,,To Do,23/Jun/26 12:28 AM
Decision and Gate Control,SS-247,10265,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Ensure significant project decisions and progression gates are explicit, evidence-based and traceable.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30002,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,"Ensure significant project decisions and progression gates are explicit, evidence-based and traceable.",0|i0003j:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.",A controlled and maintained decision and gate control capability.,Medium,"The domain includes the following deliverables: Decision Management, Decision-Gate Management.",,,,,,,,,,,,PM-DEC,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
Integrated Planning and Scheduling,SS-248,10266,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Maintain a complete, sequenced and progressively refined plan for delivering the programme.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30003,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,"Maintain a complete, sequenced and progressively refined plan for delivering the programme.",0|i0003r:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.",A controlled and maintained integrated planning and scheduling capability.,Medium,"The domain includes the following deliverables: Master Work Breakdown Structure, Integrated Project Schedule, Rolling-Wave Planning.",,,,,,,,,,,,PM-PLN,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
Delivery and Change Control,SS-249,10267,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Control the flow of active work and ensure changes are assessed and incorporated deliberately.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30004,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,Control the flow of active work and ensure changes are assessed and incorporated deliberately.,0|i0003z:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.",A controlled and maintained delivery and change control capability.,Medium,"The domain includes the following deliverables: Delivery-Flow Control, Change and Baseline Control.",,,,,,,,,,,,PM-CTL,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
"Risk, Issue and Dependency Control",SS-250,10268,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Identify and control uncertainty, active impediments and cross-work dependencies.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30005,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,"Identify and control uncertainty, active impediments and cross-work dependencies.",0|i00047:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.","A controlled and maintained risk, issue and dependency control capability.",Medium,"The domain includes the following deliverables: Risk Management, Issue and Impediment Management, Dependency Management.",,,,,,,,,,,,PM-RID,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
"Performance, Assurance and Improvement",SS-251,10269,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Measure delivery, verify evidence and improve the project-management system throughout the programme.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30006,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,"Measure delivery, verify evidence and improve the project-management system throughout the programme.",0|i0004f:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.","A controlled and maintained performance, assurance and improvement capability.",Medium,"The domain includes the following deliverables: Progress Monitoring and Forecasting, Delivery Assurance, Continuous Improvement.",,,,,,,,,,,,PM-PER,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
Project Closure,SS-252,10270,Domain,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Verify completion, obtain final acceptance and capture the programme outcome in a concise closure record.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,"All child deliverables are defined, operated where applicable and supported by current evidence.",,,ApprovalsCFValue{approvals=[]},,,,,,,,,,Weekly,,,,,,,Defined,,,,{},,,,,Execution work assigned to other PM domains or technical workstreams.,30007,,,,,,,,,,,,,,PM,Domain-level control item; not an executable task.,,,"Verify completion, obtain final acceptance and capture the programme outcome in a concise closure record.",0|i0004n:,,"Accepted child deliverables, review records and current Jira control data.","Approved PM workstream definition, current project state and outputs from dependent domains.",A controlled and maintained project closure capability.,Medium,"The domain includes the following deliverables: Completion and Acceptance, Two-Page Project Closure Report.",,,,,,,,,,,,PM-CLS,,,,10264,SS-246,Project Management and Control,To Do,23/Jun/26 12:28 AM
Decision Management,SS-253,10271,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,"Establish and operate a consistent method for identifying, assessing, recording and implementing significant project decisions.",,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30008,,,,,,,,,,,,,,PM-DEC,Deliverable-level control item; completion is based on accepted child work packages.,,,"Establish and operate a consistent method for identifying, assessing, recording and implementing significant project decisions.",0|i0004v:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted decision management deliverable.,Medium,"The deliverable comprises the following work packages: Establish Decision-Control System, Operate Decision Control.",,,,,,,,,,,,PM-DEC-CTL,,,,10265,SS-247,Decision and Gate Control,To Do,23/Jun/26 12:28 AM
Decision-Gate Management,SS-254,10272,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Establish and operate formal gates that control progression into consequential downstream work.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30009,,,,,,,,,,,,,,PM-DEC,Deliverable-level control item; completion is based on accepted child work packages.,,,Establish and operate formal gates that control progression into consequential downstream work.,0|i00053:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted decision-gate management deliverable.,Medium,"The deliverable comprises the following work packages: Establish Gate-Control System, Operate Decision Gates.",,,,,,,,,,,,PM-DEC-GAT,,,,10265,SS-247,Decision and Gate Control,To Do,23/Jun/26 12:28 AM
Master Work Breakdown Structure,SS-255,10273,Deliverable,To Do,SS,Summer Studentship,software,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,23/Jun/26 12:28 AM,23/Jun/26 12:28 AM,,,,0,Define and maintain the authoritative decomposition of total programme scope.,,Rhyen Jivan,712020:9eaadd19-e419-40ac-ab3c-0be459e43aa4,,,,,,,,,Every child work package is accepted and the combined output satisfies the stated purpose.,,,ApprovalsCFValue{approvals=[]},,,,,,,,,High,Weekly,,,,,,,Defined,,,,{},,,,,Work owned by sibling deliverables and technical implementation outside project management.,30010,,,,,,,,,,,,,,PM-PLN,Deliverable-level control item; completion is based on accepted child work packages.,,,Define and maintain the authoritative decomposition of total programme scope.,0|i0005b:,,Accepted child work packages and deliverable-level review evidence.,"Parent-domain requirements, applicable project records and outputs from prerequisite work packages.",An accepted master work breakdown structure deliverable.,Medium,"The deliverable comprises the following work packages: Establish WBS Method and Environment, Develop and Maintain Master WBS.",,,,,,,,,,,,PM-PLN-WBS,,,,10266,SS-248,Integrated Planning and Scheduling,To Do,23/Jun/26 12:28 AM
