time,deltaT,Co,alphaCo
0.0011764706,0.001386554622,0.03990607481,0.0
0.0025630252,0.001627694556,0.03836205162,0.0
0.0041907198,0.00188469896,0.04386444063,0.0213183734
0.0060754187,0.002261638752,0.04644322635,0.03120081494
0.0083370575,0.002638578544,0.06336376953,0.04540823554
0.010975636,0.002902436398,0.08323074604,0.06124180988
0.013878072,0.003265240948,0.1011682591,0.07461867185
0.017143313,0.003809447772,0.1240316099,0.09105097773
0.020952761,0.003809447772,0.1560626917,0.1138817495
0.024762209,0.003809447772,0.1646738612,0.1180503422
0.028571657,0.003809447772,0.1767429169,0.1212976055
0.032381104,0.003809447772,0.1952494964,0.1303888318
0.036190552,0.003809447772,0.2137263677,0.1385998083
0.04,0.004,0.2319410439,0.146016128
0.044,0.0036,0.2566711928,0.1581098197
0.0476,0.0036,0.2408277901,0.1457419711
0.0512,0.0036,0.248684988,0.1488717914
0.0548,0.00315,0.2533250881,0.1517203972
0.05795,0.00315,0.2240363436,0.1347195823
0.0611,0.00315,0.227139872,0.1365547331
0.06425,0.00315,0.2330606531,0.1382606879
0.0674,0.00315,0.238664788,0.1398464844
0.07055,0.00315,0.2439767515,0.1413227245
0.0737,0.00315,0.2484988206,0.1426939023
0.07685,0.00315,0.2522695759,0.148624192
0.08,0.003076923077,0.2555875567,0.1576463914
0.083076923,0.002840236686,0.2511787929,0.1614966032
0.08591716,0.002840236686,0.2335699399,0.1537863619
0.088757396,0.002840236686,0.2352883615,0.1573001303
0.091597633,0.002840236686,0.2367430106,0.1599009903
0.09443787,0.002840236686,0.2385010057,0.1617648189
0.097278107,0.002840236686,0.241831677,0.1630001876
0.10011834,0.002840236686,0.2449759633,0.1637896145
0.10295858,0.002840236686,0.2479410291,0.1658440568
0.10579882,0.002366863905,0.2506414916,0.167494173
0.10816568,0.002366863905,0.2105141227,0.1403718514
0.11053254,0.002366863905,0.2121802304,0.141007512
0.11289941,0.002366863905,0.2142488895,0.1414710918
0.11526627,0.002366863905,0.2161390799,0.1418104972
0.11763314,0.002366863905,0.2173615952,0.142107506
