placement,threads,repeat_count,end_to_end_wall_s_min,end_to_end_wall_s_median,end_to_end_wall_s_max,solver_loop_wall_s_min,solver_loop_wall_s_median,solver_loop_wall_s_max,end_to_end_speedup,solver_loop_speedup,parallel_efficiency_solver_loop,median_active_logical_cpus,observed_openmp_threads
serial,1,1,28.92542924999725,28.92542924999725,28.92542924999725,28.6236,28.6236,28.6236,1.0,1.0,1.0,0.9976679602776419,1.0
close,1,1,28.82220560999849,28.82220560999849,28.82220560999849,28.5136,28.5136,28.5136,1.003581392812039,1.0038578082038045,1.0038578082038045,0.9976815927655686,1.0
close,2,1,28.951340740000887,28.951340740000887,28.951340740000887,28.6547,28.6547,28.6547,0.9991049986169437,0.9989146632140626,0.4994573316070313,1.0086847190345045,2.0
close,4,1,28.75163538900233,28.75163538900233,28.75163538900233,28.4549,28.4549,28.4549,1.006044660021718,1.0059286801218772,0.2514821700304693,1.016095662202738,4.0
close,8,1,28.702778938000847,28.702778938000847,28.702778938000847,28.4062,28.4062,28.4062,1.0077570994946983,1.007653258795615,0.12595665734945188,1.028432928524516,8.0
close,12,1,28.97399067999504,28.97399067999504,28.97399067999504,28.6772,28.6772,28.6772,0.9983239647401655,0.9981309193366159,0.08317757661138465,1.1135570642078199,12.0
close,16,1,29.04330747500353,29.04330747500353,29.04330747500353,28.7461,28.7461,28.7461,0.9959412947334689,0.9957385523601463,0.062233659522509144,1.1610446926205635,16.0
default,8,1,28.99295833799988,28.99295833799988,28.99295833799988,28.6974,28.6974,28.6974,0.9976708452026394,0.9974283384557486,0.12467854230696858,1.0471315360809235,8.0
spread,8,1,28.696162280000863,28.696162280000863,28.696162280000863,28.4025,28.4025,28.4025,1.0079894645060663,1.0077845260100344,0.1259730657512543,1.04120839255301,8.0
spread,16,1,29.076296218001517,29.076296218001517,29.076296218001517,28.7817,28.7817,28.7817,0.9948113416209159,0.9945069262760712,0.06215668289225445,1.1690401605881104,16.0
