arrival_utc,authority,catalogue_inundation_distance_m,catalogue_water_height_m,comparison_role,data_status,distance_to_corridor_m,eligibility,eligibility_reason,inside_h400_corridor,latitude,longitude,name,observation_id,quantity,raw_file,source_detail,source_url,water_depth_m
,NOAA/NCEI and NDBC,,,open-ocean target outside Kamaishi corridor,RAW_OBSERVED_WAVEFORM_AVAILABLE,544641.4251283993,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,38.71,148.67,"D21418 BPR, NE Tokyo, Japan",NOAA_NCEI_DART_21418,Deep ocean gauge bottom-pressure residual waveform,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/ncei_dart21418_20110301to20110320_meter.txt,,https://www.ngdc.noaa.gov/hazard/data/DART/20110311_honshu/dart21418_20110301to20110320_meter.txt,
2011-03-11T05:48:00Z,NOAA/NCEI hazards event catalogue,,8.5,nearshore gauge target; raw waveform unavailable in R15 raw official sources,CATALOGUE_POINT_AVAILABLE_NO_RAW_WAVEFORM,47792.55076694596,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.65,141.983,MIYAKO,NOAA_NCEI_TIDE_19235,Tide-gauge measurement,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tide_deep_gauge_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/2,
2011-03-11T05:50:00Z,NOAA/NCEI hazards event catalogue,,4.2,nearshore gauge target; raw waveform unavailable in R15 raw official sources,CATALOGUE_POINT_AVAILABLE_NO_RAW_WAVEFORM,7439.482772522189,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.267,141.883,KAMAISHI,NOAA_NCEI_TIDE_19236,Tide-gauge measurement,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tide_deep_gauge_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/2,
2011-03-11T05:46:00Z,NOAA/NCEI hazards event catalogue,,8,nearshore gauge target; raw waveform unavailable in R15 raw official sources,CATALOGUE_POINT_AVAILABLE_NO_RAW_WAVEFORM,17432.63683971859,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.017,141.75,OFUNATO,NOAA_NCEI_TIDE_19070,Tide-gauge measurement,/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tide_deep_gauge_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/2,
,NOAA/NCEI hazards event catalogue,0,32.85,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,10469.448041033367,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.309472,141.926778,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22388,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,30.59,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,5991.887237717187,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.266110999999995,141.926028,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22387,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,29.92,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,8645.967289507342,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.28875,141.91602799999998,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_20827,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,740,29.34,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12045.230655476385,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.311796,141.8837,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24123,"Water height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,28.57,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,3517.209803147244,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.247139,141.942361,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22385,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,830,28.400000000000002,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12066.139439551878,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.312042,141.883843,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22184,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,25.11,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,7659.942418241004,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.280028,141.918722,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24388,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,745,24.240000000000002,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12066.323345479905,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.312045,141.883847,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24378,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,320,22.830000000000002,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,10181.088984892007,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.296943999999996,141.89416699999998,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_21849,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,0,22.23,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,3445.101093847314,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.247389,141.945472,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_22373,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,350.90000000000003,21.56,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,1560.85764413298,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.211749999999995,141.888417,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24240,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
,NOAA/NCEI hazards event catalogue,770,21.44,coastal/run-up target; incompatible with offshore Regional2D h400 output,CATALOGUE_POINT_AVAILABLE,12054.565866265846,TARGET_ONLY,Station lies outside the h400 delivery corridor or requires physics/output not available from the frozen result.,False,39.311944,141.883889,"IWATE PREFECTURE, TOHOKU REGION",NOAA_NCEI_SURVEY_24755,"Runup height, post-tsunami survey measurement",/home/helios/SimulationData/Summer-Studentship/validation/tohoku2011/r15/raw/noaa_ncei_tsunami_observations_event_5413.geojson,,https://gis.ngdc.noaa.gov/arcgis/rest/services/web_mercator/hazards/MapServer/4,
