level,actual_h,refinement_ratio_from_previous,mass_l1,mass_l2,mass_linf,qx_l1,qx_l2,qx_linf,qy_l1,qy_l2,qy_linf,scheme,cells,steps,dt,cfl,final_time,wall_seconds,gradient_limiter_seconds,limiter_min,limiter_active_fraction,p_mass_l1_from_previous,p_mass_l2_from_previous,p_mass_linf_from_previous,p_qx_l1_from_previous,p_qx_l2_from_previous,p_qx_linf_from_previous,p_qy_l1_from_previous,p_qy_l2_from_previous,p_qy_linf_from_previous
n4,0.1767766952966369,,0.008934194779997871,0.010594330367418237,0.021282080008783844,0.022757424990147403,0.02748663087788051,0.058054700839749285,0.019211621525071842,0.022855610514466485,0.04432219373651883,first_order,32,8,0.00125,0.04,0.01,0.08858167499420233,1.375899591948837e-05,,0.0,,,,,,,,,
n8,0.08838834764831845,2.0,0.006546128832510193,0.0076887482442232645,0.016021161859288036,0.012808123609813012,0.0166805814567035,0.044731856363114164,0.010948814594726285,0.012994710059028122,0.024391161705487135,first_order,128,15,0.0006666666666666666,0.04,0.01,0.5603553019900573,2.339098136872053e-05,,0.0,0.4486957121505748,0.46247175611742275,0.4096603836462189,0.8292781891504443,0.7205605024996324,0.37611025943994875,0.8112046117217226,0.814623912011836,0.8616708170144947
n16,0.04419417382415922,2.0,0.0038157979001068876,0.004446958822591013,0.008932067631491236,0.006431693296056168,0.009017012210871526,0.03044063893292187,0.005551781968753004,0.006660411489837773,0.01879584302080503,first_order,512,29,0.0003448275862068966,0.04,0.01,4.073392819002038,0.00010746593761723489,,0.0,0.7786572334582814,0.7899296955209054,0.8429126961437815,0.9937886199108211,0.8874481991231444,0.5553039905755917,0.979751864515636,0.9642412274791451,0.3759448488454587
n32,0.02209708691207961,2.0,0.002052204505219991,0.002376855260719289,0.004644331056521622,0.0033520616632240624,0.004788991653275573,0.018857653890534565,0.0027948842386965704,0.0034301079445121616,0.012013743172694547,first_order,2048,57,0.00017543859649122808,0.04,0.01,29.53235120799218,0.0002874479832826182,,0.0,0.894810257669481,0.9037649932308784,0.9435233611012946,0.9401499227651903,0.912927554213415,0.6908484412775205,0.9901623817526727,0.9573573335213107,0.6457278961240757
n4,0.1767766952966369,,0.004037613696488716,0.004940510369873073,0.008829708705943684,0.016332541488547764,0.018800457602129162,0.034282718964208925,0.019581002153500126,0.022118115926072542,0.03550796891424621,unlimited_linear,32,8,0.00125,0.04,0.01,0.11374072000035085,0.02259689000493381,1.0,0.0,,,,,,,,,
n8,0.08838834764831845,2.0,0.0013610248133912681,0.001568603525923628,0.0031365749243237318,0.005271006875348371,0.0066196470176353005,0.017494119636993932,0.005956856652838516,0.007200577365229381,0.016440804833484007,unlimited_linear,128,15,0.0006666666666666666,0.04,0.01,0.6879224769945722,0.0965959290479077,1.0,0.0,1.5688095162657938,1.6551793358900493,1.4931758186705861,1.6315988255420948,1.5059415827195486,0.9706114690738855,1.7168314565337206,1.6190440024085793,1.1108619137542342
n16,0.04419417382415922,2.0,0.00026601661018115993,0.0003300775711945155,0.0009693783350366303,0.00134205250403477,0.0016744083871003807,0.004967602003008553,0.0014545426462878744,0.0017917720406112052,0.005351739629157082,unlimited_linear,512,29,0.0003448275862068966,0.04,0.01,4.778592447997653,0.4917677849152824,1.0,0.0,2.355105133341638,2.248603732715944,1.6940582804583968,1.9736374598446795,1.9831028464438187,1.8162485684432055,2.0339856461738726,2.0067254898417928,1.619201092254641
n32,0.02209708691207961,2.0,5.050766430130069e-05,6.919655568079933e-05,0.00029164035381756825,0.0003298420894169222,0.00040928624950540134,0.001281120188518281,0.0003552231462043878,0.00043834390635386685,0.0015776800741947594,unlimited_linear,2048,57,0.00017543859649122808,0.04,0.01,34.96031883500109,2.9328759659983916,1.0,0.0,2.396942099182748,2.2540329772601764,1.7328694826634048,2.0245937036607238,2.032469339649921,1.9551437628558208,2.0337681006610335,2.0312520036698087,1.7622032464269768
n4,0.1767766952966369,,0.00412926910059129,0.004860939172077996,0.00976764265053931,0.022217613217432142,0.025273149102853932,0.043067176899968085,0.024560508216723922,0.027331839618467888,0.04143314684790936,limited_linear,32,8,0.00125,0.04,0.01,0.11935452099714894,0.027018049979233183,0.0,0.6067708333333334,,,,,,,,,
n8,0.08838834764831845,2.0,0.0014020043341852612,0.0017887621728845452,0.0052727829850329755,0.0076715524991314964,0.010192255663041782,0.03290509702283806,0.008280758900124197,0.010242627677785294,0.026266813885008095,limited_linear,128,15,0.0006666666666666666,0.04,0.01,0.7192709459923208,0.1250286379654426,0.0,0.45081018518518534,1.5583956313266147,1.44227349609514,0.8894458001464712,1.5341133680261285,1.3101320674000905,0.38827768070443236,1.5685055174694769,1.4159966896981162,0.6575441822847298
n16,0.04419417382415922,2.0,0.0002892754492408124,0.00039150352548680166,0.001929436641393778,0.0018665664694925512,0.0025796889643181172,0.011161597005146351,0.0019208381739066944,0.002536281607796396,0.010197096490599022,limited_linear,512,29,0.0003448275862068966,0.04,0.01,4.98289204199682,0.7114812670042738,0.0,0.21694653975095787,2.2769750170449297,2.191864380666528,1.4503849504963156,2.0391316820500163,1.9822043377330842,1.5597676125146869,2.108027010845603,2.013799032162508,1.3650827955351972
n32,0.02209708691207961,2.0,5.653041210997066e-05,7.826350983592645e-05,0.0004529662849597216,0.000397078135755234,0.0005551097162245307,0.0038223021761015774,0.0004109683822574975,0.0005669687594175493,0.004643665810352582,limited_linear,2048,57,0.00017543859649122808,0.04,0.01,36.72409716100083,4.687015033094212,0.0,0.07112725389863546,2.3553447677007058,2.32261358256726,2.090704092443599,2.2328920554515985,2.2163522786621797,1.5460297215356642,2.224636670530708,2.1613737908951656,1.1348223644167839
