evidence_item,level_id,availability
"eta(s,t)",h1000,available
"eta(s,t)",h800,available
"eta(s,t)",h600,available
"qn(s,t)",h1000,available
"qn(s,t)",h800,available
"qn(s,t)",h600,available
Qn(t),h1000,available
Qn(t),h800,available
Qn(t),h600,available
qbar_n(t),h1000,available
qbar_n(t),h800,available
qbar_n(t),h600,available
bed_projection,h1000,available
bed_projection,h800,available
bed_projection,h600,available
source_projection,h1000,available
source_projection,h800,available
source_projection,h600,available
mesh_geometry,h1000,available
mesh_geometry,h800,available
mesh_geometry,h600,available
coupling_section,h1000,available
coupling_section,h800,available
coupling_section,h600,available
time_histories,h1000,available
time_histories,h800,available
time_histories,h600,available
runtime_timestep_histories,h1000,available
runtime_timestep_histories,h800,available
runtime_timestep_histories,h600,available
boundary_reflection_history,h1000,not_available_from_current_R4_evidence
boundary_reflection_history,h800,not_available_from_current_R4_evidence
boundary_reflection_history,h600,not_available_from_current_R4_evidence
